1;PADANGCERMIN
2;PADANGCERMIN
3;TELUKBETUNG TIMUR
4;KATIBUNG
5;TELUKBETUNG TIMUR
6;BUMIWARAS
7;TELUKBETUNG BARAT
8;PANJANG
9;TELUKBETUNG SELATAN
10;TELUKBETUNG UTARA
11;PADANGCERMIN
12;ENGGAL
13;TANJUNGKARANG PUSAT
14;TANJUNGKARANG TIMUR
15;SUKABUMI
16;MERBAUMATARAM
17;KEDAMAIAN
18;WAYLIMA
19;TANJUNGKARANG BARAT
20;KEDATON
21;LANGKAPURA
22;WAYHALIM
23;KEMILING
24;SUKARAME
25;LABUHANRATU
26;TANJUNGSENANG
27;GEDONGTATAAN
28;RAJABASA
29;TANJUNGBINTANG
30;JATIAGUNG
31;NATAR
